French,English,learned
partie,part,False
histoire,history,False
chercher,search,False
seulement,only,False
police,police,False
pensais,thought,False
aide,help,False
demande,request,False
genre,kind,False
mois,month,False
frère,brother,False
laisser,let,False
car,because,False
mettre,to put,False
aucun,no,False
laisse,leash,False
eux,them,False
ville,city,False
chaque,each,False
parlé,speak,False
arrivé,come,False
devrait,should,False
bébé,baby,False
longtemps,long time,False
heures,hours,False
vont,will,False
pendant,while,False
revoir,meet again,False
aucune,any,False
place,square,False
parle,speak,False
compris,understood,False
savais,knew,False
étaient,were,False
attention,Warning,True
voici,here is,False
pourrais,could,False
affaire,case,False
donner,give,False
type,type,False
leurs,their,False
donné,given,False
train,train,False
corps,body,False
endroit,place,True
yeux,eyes,False
façon,way,False
écoute,listen,False
dont,whose,False
trouve,find,False
premier,first,False
perdu,lost,False
main,hand,False
première,first,False
côté,side,False
pouvoir,power,False
vieux,old,False
sois,be,False
tiens,here,False
matin,morning,False
tellement,so much,False
enfant,child,False
point,point,False
venu,came,False
suite,after,False
pardon,sorry,False
venez,come,False
devant,in front of,False
vers,towards,False
minutes,minutes,False
demandé,request,False
chambre,bedroom,False
mis,placed,False
belle,beautiful,False
droit,law,False
aimerais,would like to,False
aujourd'hui,today,False
mari,husband,False
cause,cause,False
enfin,finally,False
espère,hope,False
eau,water,False
attendez,Wait,False
parti,left,False
nouvelle,new,False
boulot,job,False
arrêter,Stop,False
dirait,would say,False
terre,Earth,False
compte,account,False
donne,given,False
loin,far,False
fin,end,False
croire,believe,False
chérie,sweetheart,False
gros,large,False
plutôt,rather,False
aura,will have,False
filles,girls,False
jouer,to play,False
bureau,office,False
